ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,49,STATE.TXT,0.80682,0.69608,0.74737,1
ROUGE-1+StopWordRemoval,50,STATE.TXT,0.91026,0.83529,0.87117,1
ROUGE-1+StopWordRemoval,51,STATE.TXT,0.60606,0.36364,0.45455,1
ROUGE-1+StopWordRemoval,52,STATE.TXT,0.21277,0.1087,0.14388,1
ROUGE-1+StopWordRemoval,53,STATE.TXT,0.9863,0.97297,0.97959,1
ROUGE-1+StopWordRemoval,10,STATE.TXT,0.78947,0.59211,0.67669,1
ROUGE-1+StopWordRemoval,54,STATE.TXT,0.78873,0.8,0.79433,1
ROUGE-1+StopWordRemoval,11,STATE.TXT,0.61538,0.61538,0.61538,1
ROUGE-1+StopWordRemoval,55,STATE.TXT,0.66667,0.4375,0.5283,1
ROUGE-1+StopWordRemoval,12,STATE.TXT,0.27083,0.24528,0.25743,1
ROUGE-1+StopWordRemoval,56,STATE.TXT,0.61818,0.48571,0.544,1
ROUGE-1+StopWordRemoval,13,STATE.TXT,0.94667,0.9726,0.95946,1
ROUGE-1+StopWordRemoval,57,STATE.TXT,0.93458,0.89286,0.91324,1
ROUGE-1+StopWordRemoval,14,STATE.TXT,0.70588,0.53333,0.60759,1
ROUGE-1+StopWordRemoval,58,STATE.TXT,0.72727,0.5625,0.63436,1
ROUGE-1+StopWordRemoval,15,STATE.TXT,0.43243,0.30769,0.35955,1
ROUGE-1+StopWordRemoval,59,STATE.TXT,0.70833,0.57627,0.63551,1
ROUGE-1+StopWordRemoval,16,STATE.TXT,0.43333,0.30952,0.36111,1
ROUGE-1+StopWordRemoval,17,STATE.TXT,0.89655,0.94545,0.92035,1
ROUGE-1+StopWordRemoval,18,STATE.TXT,0.69231,0.68182,0.68702,1
ROUGE-1+StopWordRemoval,19,STATE.TXT,0.76364,0.6087,0.67742,1
ROUGE-1+StopWordRemoval,0,STATE.TXT,0.44898,0.25,0.32117,1
ROUGE-1+StopWordRemoval,1,STATE.TXT,0.82353,0.81159,0.81752,1
ROUGE-1+StopWordRemoval,2,STATE.TXT,0.65517,0.52778,0.58462,1
ROUGE-1+StopWordRemoval,3,STATE.TXT,0.84783,0.69643,0.76471,1
ROUGE-1+StopWordRemoval,4,STATE.TXT,0.35088,0.21505,0.26667,1
ROUGE-1+StopWordRemoval,5,STATE.TXT,0.41509,0.275,0.33083,1
